,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,2440491.92286354,10877658.01718483,187365334.38893133,95883259.790701,2016617.5518688713,10841178.151590293,2520471.9235515934,7291967.041547876,4424232.50400031,9714605.289025273,406562595.9282043,10655368.599814098,145742717.12500334,1130524.8481130823,116623630.44304965,179073386.32399723,4851704.540749709,43450813.65612154,77340321.09821372,10772722.087686988,69952862.89639758,12567568.970706992,8029569.923394639,272219793.10184455,98037230.77489498,18292002.3849381,10959467.932172136,20887299.4033286,595944.0296579599,15303274.871705245,8925392.191276312,6667303.031928619,14298618.109743685,33678834.70178631,6276420.627138673,34730454.92299938,151340335.57793865,628483.521988852,30994791.38775033,31097779.31809908,13033734.420926703,11103796.04848698,85223305.04674491,28212523.990424097,9055753.424891395,10476578.188996475,76764171.84864894,10853713.809665164,1393538.809544528,11814938.774218023
F112017,14334185787.23023,9585251587.073776,8734332953.374077,13611570818.217285,15853965047.468155,9770308020.191284,11642281477.078556,13878523804.836143,13422883476.459402,15187530901.5416,5913966370.759323,15592306124.516045,11816709176.779068,10673880981.50344,10188975304.402325,16161887460.272537,7731209894.290674,9918166515.783573,16524125102.067005,16860137491.260592,12286008337.596008,11676528161.942488,6224229442.4909115,7747552877.698864,18707386188.660553,20114734729.65034,15309885401.441156,12965691565.162155,11545439159.624968,9607842833.04408,11022479262.074535,7258943992.680719,13715860883.785542,11741269490.73959,15295972357.16484,8490398396.074949,12180380121.993849,12993415738.798464,17977489982.40397,20331723145.653492,10902968172.407246,10703888026.595392,10062030169.147903,16809170722.033772,10054888181.335749,18259320476.714542,12775422991.796745,9758892446.568644,15432991685.741913,13306870984.779398
F12017,95685954087.3616,98964693105.57797,105739729819.78506,72271593952.0832,79911655552.78766,102218017468.4614,94164792575.01175,85788552629.675,72646177105.86003,112785386506.00029,108516934439.86128,91429762968.26657,88152891041.00485,107916035362.3773,92714072181.0283,69155984884.40352,99416671051.58234,93691529053.86874,86008359257.5126,87080225482.80502,88027471615.76799,83767099469.51683,95408115275.93456,108013538996.22395,86142953626.44725,67698162184.9846,94523294391.81187,97794041317.47696,90882839733.98015,101470555845.03804,80483429461.10051,108788033882.14297,106293505410.51147,92579591177.25214,72070322138.14613,83666759113.23433,78379495929.11317,70156588317.56871,101876337289.42073,93189575888.92314,72917066100.91556,87259242360.03807,82378002985.72746,84956582184.40732,88297338097.16928,96639578688.34317,115332159436.06926,86932604453.06168,107612006300.68135,93281413248.39417
F122017,17144781864.47976,11932319628.289406,16189473420.98598,12758331473.218204,10611624270.021952,14095585993.679918,15071050506.755009,3055959423.362137,15522953163.371756,11416035527.234415,14228062301.608063,20675334471.637497,11281953875.320982,12105740632.01921,10040967872.697977,6271322698.770758,10858067596.881472,6501790214.953275,11424138083.503544,11406514085.750027,11122913074.66289,19477435926.770035,9345082178.451714,11916357726.108574,11579160744.310703,11404927906.13231,9059136158.355131,13473899797.027859,19439935996.94087,16188964265.471596,12868463413.774124,16053164060.902157,13188576668.060768,17327432340.842175,13149582785.724138,19759572368.753872,18669487421.52557,12064878993.663437,19313527940.106792,15013078288.594458,15040583449.000694,12080457101.34587,16740287074.100555,18190330733.89326,13527457357.623968,7595881977.333838,16122622802.161678,8311465040.65656,12932779404.160822,9525654954.91335
F132017,5254694.32464889,7213672.397393838,5441296.667162519,16278913.238264324,6576417.561139041,8095549.481298576,3426836.1149001285,5433168.628052062,11128315.04968843,5975441.3547746735,4333724.821538474,10732206.923085747,6953049.426417713,3236946.277900571,7303409.364729396,7849625.770703061,11157019.033388192,27757686.628737416,19662971.41711929,9147168.544158963,3800383.490390267,3886548.9094084403,1814434.8613132401,4878152.119763583,4440402.834207876,7021540.323419175,2020368.3637912367,39420633.2321508,15642229.036092782,32582587.172322545,4232414.054340204,2288219.5332165323,3958305.9275249485,5533558.374080839,754058.0951495449,23695822.50976153,4521583.160764214,11030633.861795995,1131193.2574151831,1520962.1834616335,11014509.505515154,10636822.522369219,3389568.313355313,2210790.9597311104,5056506.69242014,12027412.904282289,4566146.235373874,6746759.365526529,5750442.708306854,8423797.90048218
F142017,2851247621.0371513,9035302127.933674,6964043058.876879,4156156292.7860384,4054474367.142417,7759983003.428543,9460812357.773338,8343507621.154927,10585607331.497223,4844612492.831493,7181252506.5697975,1142841242.2278926,5685987334.059002,8130137735.825876,4549162915.943093,4544704050.119623,8159499539.220736,7942575319.582709,8707148058.17903,6490018251.74964,1281176143.3739867,11542185792.98742,5329094965.080111,5774607448.444928,4789165473.010621,4137269681.7584853,3254486083.409425,8515480318.858112,6913800040.930252,6424710759.237505,4063889763.1314096,4849867396.759424,4446516214.151046,9924069588.092688,7156766441.58323,5717211542.320005,3097309252.474323,12104163672.224983,8913108434.289454,7179345379.219474,2968710464.4972515,7814826374.061337,7066308247.013454,6157301089.616494,2809395148.632532,7589029651.632556,6720001833.635026,8342037355.277813,8240713033.5990305,3087244345.0251904
F152017,407959982.83112293,3686299539.00807,739595057.9335134,1572874915.9639142,2492685545.284694,2654657132.88377,376588778.5334436,399284485.4608029,7189890358.149077,6821910926.418992,950323400.0077982,1141993430.820046,2161668707.0799694,3088744653.44134,445611479.6320129,797765006.2313323,3539810651.1596084,3052950191.888691,3699979316.209585,293106461.7917573,3386723609.3021708,4622388423.44487,429101342.3287534,1449598116.5270846,806804717.0602527,4953684392.701908,4440289862.568614,7979932149.681648,435799264.1504086,1354181150.4982615,440062416.4978526,439307867.1459693,1323546530.7815673,2120652218.431143,2104924741.6954298,2864192219.5820837,744913231.5437189,285038304.593309,2040131745.436508,1872236143.687797,3151496850.95835,2124313198.1406353,486963876.7407898,481421271.9556033,1986190118.8342288,987076655.5690285,255514227.43055058,1401460201.7108982,3761496104.3933277,476814016.46203625
F162017,387968849006748.2,176567462311.27997,156874817169.77963,5296465452.522935,1510346580.6408331,432407018589.0466,21971162983.777283,492521926333.74713,9856659827050.838,22439987827.67467,3430469728970.717,1393947616.2668865,303740407361.3775,7070068834742.906,3206526584.3071284,11505750928666.322,1350100540.2280996,390681044318.5225,2685794885.2422585,46374275775.59602,48227465511180.43,683129187953.9105,36202522700.47822,405137017.7591094,297631499888.4669,545628781466.32007,400855219475.608,13795486.991904845,62821802202.184586,14042932089.604532,5055554.513566444,2825806146040.4478,923829656174.6007,703448008861.6097,24347853795920.543,1804059219.8469458,362689018674.44696,453710180076.81525,714233005.6431273,23346777587725.785,20121510500.933727,352925908592.2609,505499846.77014816,33503093605.89755,7866994981182.378,7269970628538.284,23523788787.528786,105317972678726.44,20765539825.44327,1277432291.088955
F172017,20261284.243157297,458253.85734220594,6254905.381499094,3820944.9878607146,472846.6487202288,986956.7676366909,6189100.623006215,2259243.0164522184,483781.1183621366,7170932.1271331925,8541386.434297452,3668609.923113504,25797969.143750317,5910897.314455245,10926723.006170727,5414308.574929595,2563497.9859641744,5978521.80403437,847526.4953150562,512802.5347024406,6708409.4699681755,4113306.015357939,2644099.515768934,7514756.193068467,741946.08284538,520439.72290632897,5037356.171390779,482101.08755628485,2514778.397770444,390177.13358269027,11505940.051125435,2707108.917614185,559010.5882824975,545947.076187609,1990291.8934739698,4624104.237016506,50737091.60206962,631430.9896791037,1659808.3432583099,16781759.770215977,6364833.062452477,12257878.957896795,36526649.3436514,29752655.5495051,1622420.420142075,6622985.961827161,311353.8760803078,4091671.770878109,3036117.2443697094,4024170.211834904
F182017,16414920968024.715,497237768926.9775,82690318852873.39,316416768920835.9,203887841491368.78,14155548663865.377,14248486114144.504,78699728457617.72,484174023507.89984,3880545163809.8037,140153550174298.06,2790726359861.637,178180804371013.03,36742098508635.42,9821303663899.004,1783381015449.1606,53135649966377.41,59328074117458.49,4407359358070.7705,21663539915974.836,9382237909880.377,69308856426.53467,49987223003416.14,17121062944338.191,26862797490116.734,9335129589938.814,19446338206520.156,4414127324306.895,69658112483910.88,370448903470.08813,943880680373.4934,273697494831986.84,2426579823292.505,29536092173462.547,1023373431400.6073,257464427307.33197,39589495667988.26,252834886566.69354,66735984687185.56,4859117212248.568,16454504345796.281,355921318091206.75,83249148234136.61,360754745111.2481,1228373929030.6628,2525677865136.111,2090514750685.8245,14936463713527.982,49270905606916.04,10673499744361.441
