,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,143163616.96793172,6977543.831266848,101634145.05375955,52241882.77539887,4114048.9088429976,109292346.22785455,15513881.973111384,153703946.61387312,74337624.86525954,35897970.16181882,22681659.30873497,92612831.03689457,112392502.95974767,52295519.35115259,74508725.55178802,33081691.18551527,44176481.56894988,110166447.98486213,35086879.57610349,54470356.39221178,66426378.4857686,97545484.33359914,102275146.03069259,47823899.534050114,2033885.380751206,344365307.187424,78617318.04969473,5725514.95567754,6073211.20006227,28215515.496095076,8217063.397034102,121923303.3046692,11545217.22180686,14460008.400596302,64148877.34902038,42974413.23159888,141060375.74852788,3371601.0221049394,6177247.246205875,33532255.185411874,43545388.51515284,63180695.28883213,9566898.955207415,1875666.5816855456,8302961.934796746,328331157.8654407,15772218.997175451,18515139.042635422,58112592.68349114,16452355.933272962
F112017,889119566.6937659,651982238.5726099,343884376.2492705,982592088.3371295,401399650.18867993,659884176.8000932,1593927601.231693,204274873.70064455,391068299.51027757,523282949.6107545,643481408.0253047,444063714.1430495,453204319.2734638,1874857829.255224,320998923.7430689,178536774.85945535,413888857.5556544,1070847159.5289996,1477432686.1056516,472122829.2724389,950777247.2735429,882626785.883879,762980302.6915708,836135362.8913249,1066433977.014358,1795216989.9639134,702259453.0245816,389339619.76984155,1303397083.976953,2072234142.6550865,839412096.0965794,2035791272.6666849,1103286922.73856,685382648.0999408,1719059465.816461,1938554484.8557425,1321535766.5057843,709956898.4999101,605320718.3984458,2161473303.942507,365512829.45412374,3791451469.1910195,867114185.4672444,4181035368.120542,324568255.93819314,1501381066.185574,1399702632.3835454,1559440123.1819355,1035251417.3946731,780278570.1958401
F12017,7950415485.443218,19939407115.21704,21111061721.290375,20062445476.448322,10821028375.475277,19644040662.86531,18830003476.78516,15005761191.100399,14337961387.727133,21665993648.150444,33130401660.65081,14085068892.635757,19666290907.71679,12174617861.887598,19279337916.320084,21491094359.570496,20595211905.29628,6578087350.838522,10840560758.393806,10426504257.367176,8379090590.909421,16546418980.475492,23294725806.96474,13763080851.136099,20499522231.377975,13123604860.692545,29524033946.031063,23310162267.948135,11914080841.081942,15106699070.889296,29702340039.851387,22766471769.894196,12236693201.97592,14327019249.743141,19429035114.5964,11438931226.59538,25320433267.192303,14928191059.520348,11578811611.098507,20988401025.306976,15613065950.769432,18551851268.78671,10644540305.29574,10657049511.312672,11221352031.593441,20163940653.03635,16583037679.917297,14729528189.71139,16392711868.707455,22106537951.526283
F122017,2809300791.7570662,3397788044.3689528,667749479.9013197,3821726480.046232,223440352.7588644,4424654154.872255,1711864223.9044466,1452473639.4862823,5062942443.049173,1485883491.4117272,3333182016.008054,1224533344.840278,114277515.19178067,1321370898.7489803,4225766569.98484,751679834.3674788,711851316.6000531,527746842.47181314,1755273857.0593035,3476361379.7721276,454833694.98993444,300675985.0919209,1273035191.0711567,1632220511.9345467,1030352645.469229,1541901362.2449708,100443565.84530994,3051166401.0532627,727409345.7264196,3445529037.144502,311824487.26765156,1873583534.7174597,1084692341.1300483,430355823.57957786,1727928145.3027666,807839569.6091629,1904671188.568795,1073164710.301536,362438810.2361222,2132565151.0056765,1149184488.9976666,3010677987.967141,1060354023.2375752,494279998.0584941,1667631985.309678,523046765.0632144,2125137236.2156081,791792056.7372524,1261493501.761276,565161218.9002702
F132017,20788067.80768808,5610649.74218443,2384639.086622623,29226486.46634595,14682031.77904683,919498.9603425979,6945238.954101512,30315808.03512957,8248841.874847454,14734690.517239904,23140971.651284322,4723410.569207154,1716001.3029194882,3414263.596849334,7126665.691913482,9585387.918900227,8117401.60348144,10955764.88095003,4154456.9825072866,1869236.40232431,6668022.014778257,12807478.650309898,14875505.767959943,458488.55789857183,3782402.5440099034,7362687.895706265,33965028.305760615,26957297.913796563,7885521.075538937,6680649.316452514,17834181.707436748,19574229.510114245,10691617.58294798,14421178.776542597,9431762.178140359,11829436.49783713,5071482.84060022,7575343.561397509,14733474.089540431,4871057.097999077,6182984.78080751,12052798.650532134,5131912.000109844,6344738.624480683,16426299.89823351,4731870.407705106,3170360.8094389457,7058084.949407483,15243278.61259486,3426688.862587104
F142017,238268409.1265756,95670679.43475142,290405763.04597896,676339092.8404324,67768739.15492836,557052991.2561188,44996476.30369825,218201085.5984848,656240754.5748901,523883011.6483693,560174427.0029157,169895892.19455248,410261106.57359797,124400867.88502795,105392529.12827677,250355690.7288806,319964798.7292533,100013551.17863074,947552819.0094434,616230401.9508812,143539335.31588203,52951500.03483145,19799684.915595494,221788450.54234153,21413777.68608394,177216357.63638857,467533344.4843045,496694646.9708458,250508344.90874854,1642345368.5506136,191614958.74851534,264508898.1037157,463229831.9633447,972970436.6176674,1457396914.8902566,252956915.7404544,162425114.192634,25781568.838447455,196594622.90929443,192298765.85529014,102970899.1185101,735664632.9498689,577165202.8817332,136068541.2097146,36388290.95046736,27380497.410819784,582794662.4111985,646583342.9791528,544124368.0918021,129633471.49409427
F152017,37203378.95813448,25950591.674464736,8221274.853616793,34708032.700587235,55248955.01950301,375557841.9853332,883622.1769595554,401331128.0827958,19116890.96055817,8938078.956326954,1135899.691385237,5380357.617562164,22708632.635527045,8983307.959810942,18472628.485532574,17197350.449101184,12513066.94817455,12654952.211309016,26499535.299742036,99546456.25415903,84595981.37758966,9284172.49784319,6538968.04351936,55532500.13855468,15352218.632680597,52268505.66120289,3221280.64629691,22529623.37623917,18344819.47815836,9527998.17848066,134190166.85069259,9185380.77710923,464935194.4391948,86000785.89698061,55710504.858144805,29011788.655901913,37429307.81758336,10599471.890108218,3410975.2381882723,175051366.7181154,15654848.296280812,29367334.20315613,13384354.346399251,170969070.02568027,55687740.25597833,3595539.072015809,1512747.5499018792,2155877.709051483,36539465.375012025,14488064.557272304
F162017,624744981321.9017,61489943591.00746,133219.4736182192,3308131.256692215,1836971.9565686006,6746204293.78956,412727.8513333205,69782351014.39589,4803741044.618692,116016.80552558809,107127579989.28566,15206148105.317425,22068827.12391585,397953112.0649644,10573214230.535446,84358716813.10367,4543560120896.517,8388509669.8484125,8113854676.536686,567010.1926493564,70425737.97144341,1876585.8389026667,5267675.148228612,111227.8631971477,18377205.347984318,112219342.92960827,124428961.59657766,11859226.43386372,132754.8387554025,19010931.043747157,2463082.29731131,119948.10664350809,695812854741.856,1012702.7370491956,14692422.248614779,174904.8029990454,6643656.381374634,138287.97751252717,7812075410676.94,152667.42121872221,622610.0653109469,12178680903071.863,4838756.902036098,866146.8980798586,401449.6509686191,2951686.941219496,6471463.928889074,878192.2347972875,314080.1870641165,57704257.982996546
F172017,508984.9403295266,4470219.92695445,846547.4817293396,33661200.512685366,31443881.361906007,44392624.52989116,3313130.3217786006,21317431.0315789,5396066.965483292,1503714.1869508838,1203346.8897216714,250128.0919309042,2200329.164847859,196352.21493086097,2259048.506370004,4914561.087091374,1939014.3670930753,123308.92502724749,8083775.203957385,3823329.292230563,4905674.983205647,29558552.079314277,33604138.94079346,1085934.772347149,11799830.729797775,3492472.6547369934,815254.0890485133,25178963.52806107,3579076.9519580174,3016841.3272493375,9945876.983296137,10140077.554579332,5621543.372099049,989914.5860160533,41243052.76597533,2014455.530559888,1845921.7566535391,2322460.6899005733,1683990.8815635035,1597065.1082075112,1039066.6337106455,4357911.840876947,10830521.794657517,5043202.1718824925,17857831.609089743,3969377.775639266,174463.23802631133,2328763.0338547765,5214282.60644136,1118890.9657470013
F182017,15526900164.440588,75368233457.39139,166870964441.02698,3956579760416.969,1664460300.3191817,18089532206.126183,13539616139.569815,40215629334.488174,7683994361.305602,5603587585579.699,1774566331947.9707,132849985776.74118,477648095290.7606,39930425504.190384,100707851825.51884,2954523047.6703587,3305786250.5436835,2922447421791.0645,9729408917.64956,43522800889.6002,145446926595.94818,19645675055.449097,177745933524377.72,20527161368482.266,40415696217.675415,30119904215.1861,456546801613690.75,40274271500.273796,85184696777.70291,1575124011779.2893,40542575555.67332,1366082024898.2734,19968186762.4066,166666762395.9001,5281552571.206075,4014219505.39064,227879772546678.78,4586275145.983594,8767032175.728683,278630110370.3067,4982792747.020969,116084941945.00076,19056517859.308243,571586549575.3284,535201823269.75104,4112381369.7257147,73458631709.5574,16218665545.778885,81569763854.09831,217817356204.40582
