,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,4342405185.120804,5089863471.378409,520218533.3031553,11140952029.271208,3236466557.7570496,3551483672.4535327,485520661.0285462,1089576442.9930372,5825456386.19031,1431231933.6753316,3495671106.3417845,627848235.5894307,3677559324.209449,2744898333.4422092,2317235067.5954094,2553553273.327731,13398606690.928879,1412711631.4121137,1972328055.7770498,431859848.45823455,2484626185.475872,7286218596.840827,283994024.53616935,417097262.25437933,736653241.2918564,4451101457.383919,5364522552.970067,4379306405.435234,470171893.43863934,11096308291.559055,1529382295.2405226,294242018.203405,1339657150.800232,6187702041.007873,3600367056.27971,685125736.1716486,6872421556.756026,2925893274.202791,10633641117.228325,17474950363.972324,3337849346.8246236,9539354375.508148,2734436447.741223,4824733969.814675,3033868403.7035103,19722623471.70363,3731404513.130861,876460832.0730847,489846412.9066362,3445499437.43109
F112017,22608144529.593838,20325602122.284298,26515725711.881916,18514743434.53075,35448901373.56035,20376603300.324,22997726528.4859,23489997954.627266,23412304113.570824,23741257599.23515,15882557482.150644,30119261094.679523,28935037031.70596,19286817955.421143,20114227257.37239,13974720578.020794,23302070286.883957,20207969588.79932,18414803877.73387,10862137454.721928,21618653885.85341,24671596694.34132,29945162855.21276,25837312579.046562,26635656079.104935,30005874354.669632,23540052343.312912,17275374017.290398,15432585995.549906,29350593292.79881,17503188878.91548,26337801132.60627,31539992793.864037,29223130170.457024,22257304222.15553,27692428684.781998,24904362299.12005,22252111372.806297,40137421007.22396,30189469448.359215,37665506603.62464,30038532326.09009,22564513386.46415,36487669138.091415,25168823408.40914,15999008235.829327,27593141649.357864,20437317414.381847,22003408922.300106,20350481763.430145
F12017,104960528613.04933,97015284199.85933,89537905693.90347,76847424177.86676,49696474858.63469,65282376013.3194,61971378609.79735,70857720961.5558,119306950008.26677,62683743068.946945,82281346711.51935,91276696564.95827,84703730940.4617,91466308639.06827,94831495898.079,68168620579.92982,70564227700.20238,89199867040.54718,74319240508.44911,73899558059.56262,76471414730.9037,77651722012.138,77072599387.77019,72349100091.09439,88109147260.93326,72492282432.7346,92239997248.41908,57196305190.14337,64517551613.41819,91878391924.37173,78817983599.44121,95627012323.38214,63163686395.45912,65445854421.42066,87343373979.41335,100474496901.27057,53969662223.215645,104968874038.73851,80838012885.31097,90440566009.36166,94066147378.37706,49678952584.20291,60496649773.390564,68042458713.8191,58349632689.814415,61670748616.960205,67877692003.70527,73877378526.6113,60522939195.052704,86269911457.11244
F122017,13512123039.823675,31504435641.04458,23745786829.808216,19965069595.827232,17948208267.59099,21673971669.299046,17720624990.68976,24458553390.213715,29525352388.893383,27606048034.72196,33365348422.76841,31405061132.706715,17526719939.942627,23582248869.378654,30914936690.936855,18935858965.738663,16743833925.993616,27276549058.251015,26162104132.781967,16427994966.350864,28125649122.73203,27681027379.120026,30039690408.474228,22063843552.71869,34072359771.16776,28473213023.512955,23332517822.00028,14668222577.081741,21540095649.71952,31544609321.646183,20757792650.45134,25881969017.001366,12491651754.130625,23222916668.853916,23445416607.377136,28059659319.83384,24871333749.30025,23155885320.63059,27689230956.510628,11829705017.5859,28011866879.99455,32197531247.938972,12395609401.349339,20183764592.78721,26716547018.89269,10266945499.888596,27819594970.989555,29744049243.074787,13962404037.280653,38043404414.062485
F132017,39422668.04658482,168440818.35427305,72851372.42515531,72869191.21401092,47280045.11192941,67845905.58805259,154902164.87657163,11193657.873181257,32327635.233573124,12935927.74271113,4988065.498270692,30636649.05261303,29323550.445856206,65377389.449659325,66321815.08837692,76278523.71741067,145140609.75162107,32271539.429187365,169785215.38739234,15779048.279490272,13980378.467613446,50982458.222305976,13721930.47614455,105533501.01219428,8784330.693718348,47683809.24659506,17248532.238119718,9321605.971817909,78533579.61918883,80270333.8981991,31465014.777974423,168003688.6465751,61996560.0981488,24703215.020748124,10689142.36517547,128546006.9346737,14481806.186729085,174970322.80129412,97536936.20441218,7294454.64794654,22320620.15789612,374485428.748009,100714002.72229953,5625097.399213202,105060169.64489867,139183474.38969016,52568533.259266056,3700443.7401005346,25254049.744207315,114278411.88713282
F142017,6671696429.788048,14603413175.421238,17694293478.24123,17360664399.771942,22641217908.4082,17447338633.896595,12351141001.11673,9695130728.18599,14928345251.984262,13281839245.86108,9993857063.04493,11702445950.855738,4056832333.1977983,16630637952.202234,13346682888.121656,12413169884.01847,11926103541.706844,9739827158.635723,7018263611.340914,8435653113.568637,25831375444.462925,18173315689.07157,12562948327.746376,12334090891.863394,10291748069.038908,4831768180.512386,22046459267.44453,13367294556.028648,11214949778.838673,14657127222.556892,19350784380.724815,6093100348.597815,11092757848.640854,9451056701.072262,13373114037.938267,10614131681.059221,12177049378.377293,20980255594.752747,13321688792.34729,20012928537.65522,18056029434.23547,11293435347.346851,13356593091.585674,16701761123.634848,11339693927.83323,14842829919.446072,16268028949.380999,17898045936.082024,12863853618.005447,7709475816.70134
F152017,37284052182.179596,24869129087.333447,14619429526.520065,50068014020.539154,20618512604.169945,12855621720.245228,12983140285.025534,4827486141.69113,6186653863.133598,6868687078.784778,20984861814.689877,24877381174.748398,5502844614.977816,3860814929.373536,34224885720.61489,4796172396.169492,4229147706.557667,5683114373.611678,48812794725.22299,33756617539.819942,5194529697.473536,5699901460.241338,54763130061.091896,9814760871.458483,13350187884.081085,2219348226.7820516,2210222213.473559,20414796136.403545,2741754555.6190042,4737691935.904629,29113570454.652092,7980055869.793326,12302257763.110918,22593571646.282776,21971474259.783947,10454738487.607033,19300028228.451027,44468943994.51087,22267764489.14212,9520856618.630604,3034072372.2216024,3723111203.9346213,7046991944.00226,22563539400.653736,30868794134.068905,10001738392.595755,2116554794.2639155,15045663595.366545,14798165376.353933,3578559808.1995773
F162017,1349910139466474.5,642373252387050.1,9422403823976518.0,9985603899389512.0,3.2600619466913096e+16,1.418274219218364e+16,606831225648800.1,343754329657984.8,82756306532754.75,1.0517967610953237e+17,482406331741895.3,2203341692644717.2,7230453893213315.0,4.169364968399626e+16,1.3555393471144898e+16,3802257714076377.0,8506981841172.577,650855785835753.0,4.286729978617177e+16,1961108903162472.0,2252061309093154.5,1.8369502274806176e+16,717287948495408.0,1.3930884784315864e+16,6663811018015402.0,1.061963622878834e+16,1.3223493080045316e+16,71890613418379.03,7800663930906532.0,3.04717325583872e+16,1.3074789603873192e+16,3027605479200938.0,3645914074104461.5,2141196791972402.5,166844937425703.03,4.9656736282165304e+16,8558845745784078.0,6501409279885458.0,92542955136647.31,3414542500238025.0,3.5095530337338096e+16,1637702049785605.0,9432890006695782.0,7085757738052036.0,3.2705306760676324e+16,5738705266389521.0,1.1933466650611314e+16,1.0585106838533166e+16,1320870626598074.5,8453263062475.773
F172017,267131109.22015014,85693902.08825767,9460322.869955022,650910634.6142374,333336670.3335483,14838548.936677542,853815420.4270034,61160719.003210664,1160460937.4090307,712929084.8130734,7646693.847081916,423013480.0911299,127100798.70593861,11656118.389595224,54944601.09914458,597271292.370846,1874167332.1122155,214093735.207806,192764837.12913984,621640432.1259027,25551512.879977997,1059421088.8626271,49160018.05314175,637600245.3070114,72571309.0812221,240715607.01451847,66879176.990177594,25794496.87305856,28283662.27530256,2107933957.9584022,9963499.264529113,165884940.73598626,674377414.2536141,14630628.212868288,72167144.34311028,40507994.06979812,118081469.07614294,44503957.65773669,1739056569.3770945,1900093604.203224,133356548.88244604,62989975.066962324,2008442701.7821581,11431841.116327167,8669643.663111057,224567092.7782106,611782855.8768779,13201161.317798212,415266095.84724164,455178499.8851589
F182017,7237138077497580.0,446203083957253.1,6.4020282312558504e+16,2739451811278460.0,2789431958054272.0,1191077612308401.0,1.5686280877113363e+17,6362598571498978.0,9219291865019790.0,4958270234725070.0,4.601695125889761e+16,56775253682853.35,7091398280057707.0,1.7819228649577546e+17,1038577888080658.9,1.1480749831406526e+16,1322345641390987.2,3361763405736234.5,464690367837916.06,6318171933672522.0,1185431688706035.0,1.685714410939628e+16,1.3340632203126732e+16,4.514755568161496e+16,9767754633947.541,680914781871421.4,1.7344512536179184e+16,413932348398587.5,2.866086501003631e+16,1296131353775150.5,6832051184547115.0,2.220909192411179e+17,1920554007544848.5,5072450792024915.0,2425632838782977.0,698449875530130.4,899221745721878.0,1241246265921690.8,3204076610377268.5,1744762467045762.0,2113897731254422.5,3.5795424931894612e+16,6.445209242863042e+16,693580466260320.6,18537167363884.812,2789100996749585.5,119839275075726.81,5464335371241160.0,1.0116416021013454e+16,2615923881857670.5
