,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,420626.0847485305,252151.43826568755,1270214.908147282,365070.39202062704,1242556.2168437755,219528.26935620396,295629.7534433767,366080.13542092504,144613.2940974191,363983.52568304964,315456.8159214993,350209.6436558689,164470.40305986675,285917.0646867641,229602.03449272751,566161.268345352,331033.9358589478,252443.93209273438,398512.4889721342,362255.2143849815,529393.0895059987,346535.11412455904,344941.3184089938,278463.7991913285,274095.12238448404,291100.6741865297,15034191.347473633,284145.5224607426,485119.4494805424,266073.7238560591,314368.41364690335,380400.5613388503,439399.8835325694,4077974.736920762,3506212.514280431,1320017.2457939922,288256.49406195985,334435.2022754672,2684541.307336942,411977.00842909224,243225.01303161655,1168909.2267395565,1346646.2350500997,298827.0104410027,305873.39091166964,193518.13236294058,743922.3520841576,362915.07415629894,333652.45760085096,373642.3556997012
F112017,3615602514.996114,82565725.45853928,5670293620.172276,4131970802.042758,1706423804.0852952,3749253985.917089,4741067065.641341,3612994272.3370285,5560835031.32752,67607128.47334747,2638695413.847186,864218513.1064236,172451130.07167813,5443311736.643188,171389952.33542478,1081519155.413203,74805670.96387593,232728259.50745535,605214221.7761811,3011092540.010639,301577998.5180634,3228565822.3622274,2585726410.895117,971464488.0111443,65086973.165618174,5658813901.767398,2012042834.5345297,1834105538.3497725,2959648002.1441145,2966691116.452161,759745780.0635271,8522830019.187272,433230996.80066675,2197609009.355919,3878844589.069792,261730117.0518221,258554697.0602044,3018717175.4720764,1607941535.6324327,210958880.3114643,271239314.1950381,33168121.87848482,4016259057.455232,1832715305.509606,2914507615.375298,714873787.6044745,2885458403.8880553,910965407.6839733,229575093.6125102,83471694.45061144
F12017,20806845065.228664,7797943985.279624,15193106783.881084,17468883020.47073,15298005858.774134,18324720947.686604,29681355585.1469,7729402637.584693,5929655210.737616,18151020950.37142,6041892665.488851,26627200997.286644,14843111898.838427,5034448175.708093,12842390513.656284,26032477200.5478,18204573847.07516,10350330249.263824,13905380025.578093,20807231472.327293,36884538915.763626,17973637900.16491,5032944751.017302,14717756868.222036,19583474890.286186,27997395931.564487,46110250856.308464,6643543767.864932,34110825100.687576,38209944935.32886,28667297231.12703,5615131774.851641,21212272909.137203,7319304834.395925,10665167995.151842,21757257982.61729,5124716968.9192705,3400837743.561054,41807355558.6643,9570110067.287252,7246674480.020011,10766621509.379053,12654524483.7485,17764899758.41423,22538296202.2139,7649481504.431265,18831605204.26668,13152293853.043098,9911180547.601717,22267284234.63265
F122017,455099908.6708749,2667875969.542246,14841904.524053428,63905880.051175356,56852070.05135214,631922072.1343992,2797574706.501351,5710944.658282639,1806715073.804118,492573415.40660065,2718626.3879218,633944606.3914816,2414067390.088751,61507648.48002297,4095509880.3898025,1069048738.3703406,1127579536.7483137,175256918.43209937,113546484.6930749,2758778816.731695,838691752.1129619,28978122.710074212,56320233.084358305,5393168759.774888,1824910682.7183352,8709395122.174051,454186365.5687761,284669838.1429361,225045434.49498785,3391596798.5525618,1840354976.602608,194055933.71900442,25062199.07199931,2055272357.5512621,2295370289.827138,1511052568.3590312,10059527170.339205,6049120954.777148,316633529.29395527,457089831.5406124,2684530970.1959214,274948172.22932404,2989159777.331914,219367592.7487111,252470564.05591738,1298579452.7858,377885986.9342497,2729049379.4843745,438442858.2487681,4639237701.338625
F132017,3228319.464326352,2124285.75615116,11327306.55618217,5415326.930394029,4924065.072619845,13738033.64326727,2674110.1959893047,471082.2527155517,18550843.982749738,973125.1646109195,2524950.759960678,3025153.4218887053,9834100.538053796,1464046.4909178743,12793769.912587136,3558023.574412764,2964950.3525509373,1591002.6117949903,10746086.797822837,8501975.391015878,3914194.4235009835,4952458.909229048,16810375.703885138,5486276.564179664,4262050.263239898,1574985.8575960244,5139377.356274499,353964.59117685165,750707.6300390242,788051.332160783,1119284.6879856011,970204.1181541693,2183571.039068328,2466154.330746125,820702.8060774894,5667979.564086884,1027018.213800796,1928357.6699064886,367883.0490937524,2960434.153089074,33399719.150632415,558226.2865169466,2376079.726500467,1614594.0256915535,6351681.775595798,1428535.7628173756,20803155.840458915,628318.0510068352,470012.82146938005,17311194.589334097
F142017,213392655.73790503,402462653.21626157,242641872.92998952,63415930.3616492,4316102.373457835,5955059.01415456,1891095342.3694072,1953124.5876205002,195843818.48735124,3687009.9381184336,59681214.81416149,29675648.092205875,127663729.31630029,8062321.049622999,91602296.5468771,58879255.45133575,19245946.321275245,36268757.69510562,11787608.079733044,75000832.53892256,11461035.299357899,376344392.53669,24562074.771615252,1290185.0500695845,124451019.78032517,1682725.8329597984,7744432.304023112,4053733582.958329,258029.72866431825,230395845.3810606,30888837.425289225,1397562.5293175438,1046068.3361933964,1917122.7854956794,161456059.98868275,231271321.52950132,1398571.2618146515,254437387.1361775,148510.2540827609,1661059.2271019765,13304706.861852871,305839858.66475445,61176013.61305163,132036831.56429768,16895117.82241841,2805796771.1351967,60003449.536423795,1982588.8823349392,1779157.7361075876,1820474836.9559486
F152017,1340611.3685979717,6356598.241196017,121335.6362729549,36454562.74411214,6540790.694478904,6834168.605244283,128742975.61437285,47170.19047671185,84010.67624358188,115468.4891971409,1188845.061778476,3324451.1159708044,297483029.5434599,153045.51172711057,148331814.8222955,867465.8683670567,162353.17518521362,778713.8736780019,5839021.732166542,670317.5441630706,38737339.292098716,21339062.597262833,185913.81688312956,189025739.18742874,65073.65030946,127653.99905803357,6516634.540269544,21565030.614013504,149307068.88570073,247737.51037015958,176284189.93644106,810714.0599459511,1986793.3913218852,282731.1281638679,6436160.086319799,21473569.621872988,127794.35324479527,399885252.60653985,124441.23810676663,541286770.7773596,6603757.091824624,383134.5726648039,350079487.1605921,190279.42039101073,22098919.606237773,4641165.975840877,1167123.780606854,21503639.84236433,188441395.6278803,6347215.148508354
F162017,335762.7582321068,1465071.022206742,58575.45717626826,366445.7734370259,148394.6527228114,98259.12374482494,98858.97086276056,292070.4163835596,278838.2017364537,336343.6301276453,108564.30304778564,118901.10472626651,345544.5252497101,317851.87823932234,65349.71235153371,98328.8794375178,62945.42030398444,222171.77731965372,74418.58876262003,453589.6308318142,131215.2638590511,116537.53754632932,54287.20297828899,103172.38441697821,78043.01389976939,935432.6562482768,2851542.435487491,2738157.1799456617,1232541924.5767002,25878.92851653217,29569.82698302699,140635.6557020396,186830.0131788541,1514851.8790416731,76724.5293379059,1631489.6984167413,140666.07989824534,244868.05145675497,67942.06896557967,83345.62556793023,77576.88040547664,5486673087.679768,335124.40126230026,76057.59251078169,258410.55490788716,664171.8258619495,197657.0097667738,271096.266025478,112569.61472583402,95456.90188359199
F172017,379081.2366130248,561762.3996454577,1383722.6954138274,504049.35292271513,766592.6108377308,2107934.0094622583,3913102.0009511216,6455548.159917683,1471381.2018983029,2660512.3562886943,11222377.934737649,46833436.67076746,2074558.3133332501,177180.13064567203,910002.196596548,14602900.112320352,8392164.05737438,676263.0510834581,374284.41076432966,1191168.2718203564,128212.14089191536,477052.10069460934,164370.53885962526,2396902.227936323,2576937.85447578,4122014.3226902215,7711992.981943174,431786.7904823981,5911754.389372767,3758370.601560796,211074.18804383042,227314.7243794714,363794.631469093,181491.54302097487,94753.08602987384,5800707.784082139,8171833.763907544,1171107.028781983,180682.49675799644,19451390.288645387,5495921.755564118,5791495.788891213,1064321.9272995475,1518725.1739071428,3076344.6187107167,11138551.326768128,28579157.697766718,3876503.7190835895,302721.9241841574,1917666.5665332428
F182017,47534105178.510864,37811684049.175255,2345479789.5619354,93594811282.87383,46180401696.2999,6130725054.257318,9082892961.694933,1713924968811.757,3080489.2999487952,97037017874.89178,42389279789.94088,48867124528.61285,25221816.35218751,69211413973.54869,6836405937.626385,3339141310.9957957,6834666880.079256,1883392565.9445577,12612412085.400837,59752190443.26009,33682411426.880817,161465101653.6099,1772726558917.4011,8017438902.488343,51144673214.09634,138853529274.65253,25662701434.50364,4864027451.115154,7210675008.253548,114853417031.74768,2284564947073.363,84059856.97206135,1691647487716.9143,2345326817.059787,28259745637.30103,6204308140.642861,9082739552.817009,6068116809.334636,9083075090.937258,162292268.7681678,2141059296.5228608,6078593844.013187,42228412122.876724,72987800.1473392,8334661376.9141655,1778526506253.358,5780894148.188844,178782901313.35123,79682260167.51382,9146581239.34978
