Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102017,WOA_SA,GA,0.0,Yes
F102017,WOA_SA,PSO,0.0,Yes
F102017,WOA_SA,GWO,0.0,Yes
F102017,WOA_SA,DA,0.0,Yes
F102017,WOA_SA,BOA,0.27799,No
F102017,WOA_SA,FOA,0.0,Yes
F102017,GA,PSO,0.0,Yes
F102017,GA,GWO,0.0,Yes
F102017,GA,DA,0.0,Yes
F102017,GA,BOA,0.0,Yes
F102017,GA,FOA,0.01221,Yes
F102017,PSO,GWO,0.0,Yes
F102017,PSO,DA,0.0,Yes
F102017,PSO,BOA,0.0,Yes
F102017,PSO,FOA,0.0,Yes
F102017,GWO,DA,0.00055,Yes
F102017,GWO,BOA,0.0,Yes
F102017,GWO,FOA,1e-05,Yes
F102017,DA,BOA,0.0,Yes
F102017,DA,FOA,0.0,Yes
F102017,BOA,FOA,0.0,Yes
F112017,WOA_SA,GA,0.0,Yes
F112017,WOA_SA,PSO,0.0,Yes
F112017,WOA_SA,GWO,0.08227,No
F112017,WOA_SA,DA,0.0,Yes
F112017,WOA_SA,BOA,0.0,Yes
F112017,WOA_SA,FOA,0.31367,No
F112017,GA,PSO,4e-05,Yes
F112017,GA,GWO,0.0,Yes
F112017,GA,DA,0.0,Yes
F112017,GA,BOA,0.0,Yes
F112017,GA,FOA,0.0,Yes
F112017,PSO,GWO,0.0,Yes
F112017,PSO,DA,0.0,Yes
F112017,PSO,BOA,0.0,Yes
F112017,PSO,FOA,0.0,Yes
F112017,GWO,DA,0.0,Yes
F112017,GWO,BOA,0.0,Yes
F112017,GWO,FOA,0.00912,Yes
F112017,DA,BOA,0.00011,Yes
F112017,DA,FOA,0.0,Yes
F112017,BOA,FOA,0.0,Yes
F12017,WOA_SA,GA,0.0,Yes
F12017,WOA_SA,PSO,0.0,Yes
F12017,WOA_SA,GWO,0.0,Yes
F12017,WOA_SA,DA,0.0,Yes
F12017,WOA_SA,BOA,0.0,Yes
F12017,WOA_SA,FOA,0.60514,No
F12017,GA,PSO,0.0,Yes
F12017,GA,GWO,0.0,Yes
F12017,GA,DA,0.0,Yes
F12017,GA,BOA,0.0,Yes
F12017,GA,FOA,0.0,Yes
F12017,PSO,GWO,0.0,Yes
F12017,PSO,DA,0.0,Yes
F12017,PSO,BOA,0.0,Yes
F12017,PSO,FOA,0.0,Yes
F12017,GWO,DA,0.0,Yes
F12017,GWO,BOA,0.0,Yes
F12017,GWO,FOA,0.0,Yes
F12017,DA,BOA,0.03808,Yes
F12017,DA,FOA,0.0,Yes
F12017,BOA,FOA,2e-05,Yes
F122017,WOA_SA,GA,0.0,Yes
F122017,WOA_SA,PSO,0.0,Yes
F122017,WOA_SA,GWO,0.51481,No
F122017,WOA_SA,DA,0.0,Yes
F122017,WOA_SA,BOA,0.0,Yes
F122017,WOA_SA,FOA,0.25712,No
F122017,GA,PSO,1e-05,Yes
F122017,GA,GWO,0.0,Yes
F122017,GA,DA,0.0,Yes
F122017,GA,BOA,0.0,Yes
F122017,GA,FOA,0.0,Yes
F122017,PSO,GWO,0.0,Yes
F122017,PSO,DA,0.0,Yes
F122017,PSO,BOA,0.0,Yes
F122017,PSO,FOA,0.0,Yes
F122017,GWO,DA,0.0,Yes
F122017,GWO,BOA,0.0,Yes
F122017,GWO,FOA,0.96185,No
F122017,DA,BOA,0.1162,No
F122017,DA,FOA,0.0,Yes
F122017,BOA,FOA,0.0,Yes
F132017,WOA_SA,GA,0.01856,Yes
F132017,WOA_SA,PSO,0.00018,Yes
F132017,WOA_SA,GWO,0.00035,Yes
F132017,WOA_SA,DA,0.0,Yes
F132017,WOA_SA,BOA,0.0,Yes
F132017,WOA_SA,FOA,0.17499,No
F132017,GA,PSO,0.0,Yes
F132017,GA,GWO,0.08227,No
F132017,GA,DA,0.0,Yes
F132017,GA,BOA,0.0,Yes
F132017,GA,FOA,0.0001,Yes
F132017,PSO,GWO,0.0,Yes
F132017,PSO,DA,0.0,Yes
F132017,PSO,BOA,0.0,Yes
F132017,PSO,FOA,0.0133,Yes
F132017,GWO,DA,0.0,Yes
F132017,GWO,BOA,0.0,Yes
F132017,GWO,FOA,1e-05,Yes
F132017,DA,BOA,0.87079,No
F132017,DA,FOA,0.0,Yes
F132017,BOA,FOA,0.0,Yes
F142017,WOA_SA,GA,0.0,Yes
F142017,WOA_SA,PSO,0.0,Yes
F142017,WOA_SA,GWO,0.02685,Yes
F142017,WOA_SA,DA,0.0,Yes
F142017,WOA_SA,BOA,0.0,Yes
F142017,WOA_SA,FOA,0.03205,Yes
F142017,GA,PSO,0.0,Yes
F142017,GA,GWO,0.0,Yes
F142017,GA,DA,0.0,Yes
F142017,GA,BOA,0.0,Yes
F142017,GA,FOA,0.0,Yes
F142017,PSO,GWO,0.0,Yes
F142017,PSO,DA,0.0,Yes
F142017,PSO,BOA,0.0,Yes
F142017,PSO,FOA,0.0,Yes
F142017,GWO,DA,0.0,Yes
F142017,GWO,BOA,0.0,Yes
F142017,GWO,FOA,0.40426,No
F142017,DA,BOA,0.05936,No
F142017,DA,FOA,0.0,Yes
F142017,BOA,FOA,0.0,Yes
F152017,WOA_SA,GA,0.0,Yes
F152017,WOA_SA,PSO,0.0,Yes
F152017,WOA_SA,GWO,0.01531,Yes
F152017,WOA_SA,DA,0.0,Yes
F152017,WOA_SA,BOA,0.0,Yes
F152017,WOA_SA,FOA,0.63217,No
F152017,GA,PSO,0.0,Yes
F152017,GA,GWO,0.0,Yes
F152017,GA,DA,0.0,Yes
F152017,GA,BOA,0.0,Yes
F152017,GA,FOA,0.0,Yes
F152017,PSO,GWO,0.0,Yes
F152017,PSO,DA,0.0,Yes
F152017,PSO,BOA,0.0,Yes
F152017,PSO,FOA,0.0,Yes
F152017,GWO,DA,2e-05,Yes
F152017,GWO,BOA,0.0,Yes
F152017,GWO,FOA,0.00885,Yes
F152017,DA,BOA,0.00051,Yes
F152017,DA,FOA,0.0,Yes
F152017,BOA,FOA,0.0,Yes
F162017,WOA_SA,GA,1e-05,Yes
F162017,WOA_SA,PSO,0.0,Yes
F162017,WOA_SA,GWO,0.0,Yes
F162017,WOA_SA,DA,0.0,Yes
F162017,WOA_SA,BOA,0.0,Yes
F162017,WOA_SA,FOA,0.0876,No
F162017,GA,PSO,0.0,Yes
F162017,GA,GWO,0.0,Yes
F162017,GA,DA,0.0,Yes
F162017,GA,BOA,0.0,Yes
F162017,GA,FOA,0.00019,Yes
F162017,PSO,GWO,0.0,Yes
F162017,PSO,DA,0.0,Yes
F162017,PSO,BOA,0.0,Yes
F162017,PSO,FOA,0.0,Yes
F162017,GWO,DA,0.26121,No
F162017,GWO,BOA,0.0,Yes
F162017,GWO,FOA,0.0,Yes
F162017,DA,BOA,0.0,Yes
F162017,DA,FOA,0.0,Yes
F162017,BOA,FOA,0.0,Yes
F172017,WOA_SA,GA,1e-05,Yes
F172017,WOA_SA,PSO,0.0,Yes
F172017,WOA_SA,GWO,0.0,Yes
F172017,WOA_SA,DA,0.00133,Yes
F172017,WOA_SA,BOA,0.0,Yes
F172017,WOA_SA,FOA,0.0,Yes
F172017,GA,PSO,0.00198,Yes
F172017,GA,GWO,0.05061,No
F172017,GA,DA,0.0,Yes
F172017,GA,BOA,0.0,Yes
F172017,GA,FOA,0.21866,No
F172017,PSO,GWO,0.23353,No
F172017,PSO,DA,0.0,Yes
F172017,PSO,BOA,0.0,Yes
F172017,PSO,FOA,0.13807,No
F172017,GWO,DA,0.0,Yes
F172017,GWO,BOA,0.0,Yes
F172017,GWO,FOA,0.43191,No
F172017,DA,BOA,0.0,Yes
F172017,DA,FOA,0.0,Yes
F172017,BOA,FOA,0.0,Yes
F182017,WOA_SA,GA,0.0,Yes
F182017,WOA_SA,PSO,0.0,Yes
F182017,WOA_SA,GWO,0.00011,Yes
F182017,WOA_SA,DA,0.0,Yes
F182017,WOA_SA,BOA,0.0,Yes
F182017,WOA_SA,FOA,0.66665,No
F182017,GA,PSO,0.00031,Yes
F182017,GA,GWO,0.0,Yes
