Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102022,WOA_GA,WOA_PSO,0.0932,No
F102022,WOA_GA,WOA_Cros,3e-05,Yes
F102022,WOA_GA,WOA_Mut,9e-05,Yes
F102022,WOA_GA,WOA_original,0.0,Yes
F102022,WOA_PSO,WOA_Cros,0.0,Yes
F102022,WOA_PSO,WOA_Mut,0.01293,Yes
F102022,WOA_PSO,WOA_original,0.0,Yes
F102022,WOA_Cros,WOA_Mut,0.0,Yes
F102022,WOA_Cros,WOA_original,0.0,Yes
F102022,WOA_Mut,WOA_original,0.00491,Yes
F112022,WOA_GA,WOA_PSO,0.01664,Yes
F112022,WOA_GA,WOA_Cros,0.02012,Yes
F112022,WOA_GA,WOA_Mut,0.03205,Yes
F112022,WOA_GA,WOA_original,0.0,Yes
F112022,WOA_PSO,WOA_Cros,0.31367,No
F112022,WOA_PSO,WOA_Mut,0.05299,No
F112022,WOA_PSO,WOA_original,0.0,Yes
F112022,WOA_Cros,WOA_Mut,0.07556,No
F112022,WOA_Cros,WOA_original,0.0,Yes
F112022,WOA_Mut,WOA_original,0.0,Yes
F12022,WOA_GA,WOA_PSO,0.0,Yes
F12022,WOA_GA,WOA_Cros,0.0,Yes
F12022,WOA_GA,WOA_Mut,0.38818,No
F12022,WOA_GA,WOA_original,0.0,Yes
F12022,WOA_PSO,WOA_Cros,0.0,Yes
F12022,WOA_PSO,WOA_Mut,0.0,Yes
F12022,WOA_PSO,WOA_original,0.0,Yes
F12022,WOA_Cros,WOA_Mut,0.0,Yes
F12022,WOA_Cros,WOA_original,0.0,Yes
F12022,WOA_Mut,WOA_original,0.0,Yes
F122022,WOA_GA,WOA_PSO,0.0,Yes
F122022,WOA_GA,WOA_Cros,0.0,Yes
F122022,WOA_GA,WOA_Mut,0.03205,Yes
F122022,WOA_GA,WOA_original,0.23353,No
F122022,WOA_PSO,WOA_Cros,0.11849,No
F122022,WOA_PSO,WOA_Mut,0.01088,Yes
F122022,WOA_PSO,WOA_original,0.0,Yes
F122022,WOA_Cros,WOA_Mut,0.00023,Yes
