Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102017,WOA_SA,WOA_GA,0.0,Yes
F102017,WOA_SA,WOA_PSO,0.0,Yes
F102017,WOA_SA,WOA_Cros,0.0,Yes
F102017,WOA_SA,WOA_Mut,0.0,Yes
F102017,WOA_SA,WOA_original,0.0,Yes
F102017,WOA_GA,WOA_PSO,0.0,Yes
F102017,WOA_GA,WOA_Cros,0.0,Yes
F102017,WOA_GA,WOA_Mut,0.00075,Yes
F102017,WOA_GA,WOA_original,2e-05,Yes
F102017,WOA_PSO,WOA_Cros,0.02012,Yes
F102017,WOA_PSO,WOA_Mut,0.0,Yes
F102017,WOA_PSO,WOA_original,0.0,Yes
F102017,WOA_Cros,WOA_Mut,0.0,Yes
F102017,WOA_Cros,WOA_original,0.0,Yes
F102017,WOA_Mut,WOA_original,0.0,Yes
F112017,WOA_SA,WOA_GA,0.0,Yes
F112017,WOA_SA,WOA_PSO,0.0,Yes
F112017,WOA_SA,WOA_Cros,0.0,Yes
F112017,WOA_SA,WOA_Mut,0.0,Yes
F112017,WOA_SA,WOA_original,0.0,Yes
F112017,WOA_GA,WOA_PSO,0.0,Yes
F112017,WOA_GA,WOA_Cros,0.0,Yes
F112017,WOA_GA,WOA_Mut,0.03627,Yes
F112017,WOA_GA,WOA_original,0.00507,Yes
F112017,WOA_PSO,WOA_Cros,0.52728,No
F112017,WOA_PSO,WOA_Mut,0.0,Yes
F112017,WOA_PSO,WOA_original,0.0,Yes
F112017,WOA_Cros,WOA_Mut,0.0,Yes
F112017,WOA_Cros,WOA_original,0.0,Yes
F112017,WOA_Mut,WOA_original,0.0,Yes
F12017,WOA_SA,WOA_GA,0.0,Yes
F12017,WOA_SA,WOA_PSO,0.0,Yes
F12017,WOA_SA,WOA_Cros,0.0,Yes
F12017,WOA_SA,WOA_Mut,0.0,Yes
F12017,WOA_SA,WOA_original,0.0,Yes
F12017,WOA_GA,WOA_PSO,0.0,Yes
F12017,WOA_GA,WOA_Cros,0.0,Yes
F12017,WOA_GA,WOA_Mut,0.18768,No
F12017,WOA_GA,WOA_original,0.0,Yes
F12017,WOA_PSO,WOA_Cros,0.0,Yes
F12017,WOA_PSO,WOA_Mut,0.0,Yes
F12017,WOA_PSO,WOA_original,0.0,Yes
F12017,WOA_Cros,WOA_Mut,0.0,Yes
F12017,WOA_Cros,WOA_original,0.0,Yes
F12017,WOA_Mut,WOA_original,0.0,Yes
F122017,WOA_SA,WOA_GA,0.0,Yes
F122017,WOA_SA,WOA_PSO,0.0,Yes
F122017,WOA_SA,WOA_Cros,0.0,Yes
F122017,WOA_SA,WOA_Mut,0.0,Yes
F122017,WOA_SA,WOA_original,0.0,Yes
F122017,WOA_GA,WOA_PSO,0.0,Yes
F122017,WOA_GA,WOA_Cros,0.0,Yes
F122017,WOA_GA,WOA_Mut,0.46061,No
F122017,WOA_GA,WOA_original,0.00103,Yes
F122017,WOA_PSO,WOA_Cros,0.07396,No
F122017,WOA_PSO,WOA_Mut,0.0,Yes
F122017,WOA_PSO,WOA_original,0.0,Yes
F122017,WOA_Cros,WOA_Mut,0.0,Yes
F122017,WOA_Cros,WOA_original,0.0,Yes
F122017,WOA_Mut,WOA_original,6e-05,Yes
F132017,WOA_SA,WOA_GA,0.5399,No
F132017,WOA_SA,WOA_PSO,0.0,Yes
F132017,WOA_SA,WOA_Cros,0.00022,Yes
F132017,WOA_SA,WOA_Mut,0.63901,No
F132017,WOA_SA,WOA_original,0.70895,No
F132017,WOA_GA,WOA_PSO,7e-05,Yes
F132017,WOA_GA,WOA_Cros,0.00091,Yes
F132017,WOA_GA,WOA_Mut,0.68768,No
F132017,WOA_GA,WOA_original,0.11849,No
F132017,WOA_PSO,WOA_Cros,0.43191,No
F132017,WOA_PSO,WOA_Mut,0.0,Yes
F132017,WOA_PSO,WOA_original,0.0,Yes
