Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102014,WOA_SA,GA,0.0,Yes
F102014,WOA_SA,PSO,0.0,Yes
F102014,WOA_SA,GWO,0.0,Yes
F102014,WOA_SA,DA,0.0,Yes
F102014,WOA_SA,BOA,0.0,Yes
F102014,WOA_SA,FOA,0.0,Yes
F102014,GA,PSO,0.0,Yes
F102014,GA,GWO,0.0,Yes
F102014,GA,DA,0.0,Yes
F102014,GA,BOA,0.0,Yes
F102014,GA,FOA,0.0,Yes
F102014,PSO,GWO,0.0,Yes
F102014,PSO,DA,0.0,Yes
F102014,PSO,BOA,0.0,Yes
F102014,PSO,FOA,0.0,Yes
F102014,GWO,DA,0.0,Yes
F102014,GWO,BOA,0.0,Yes
F102014,GWO,FOA,0.0,Yes
F102014,DA,BOA,0.10738,No
F102014,DA,FOA,0.00099,Yes
F102014,BOA,FOA,0.0,Yes
F112014,WOA_SA,GA,0.0,Yes
F112014,WOA_SA,PSO,0.0,Yes
F112014,WOA_SA,GWO,0.0,Yes
F112014,WOA_SA,DA,0.0,Yes
F112014,WOA_SA,BOA,0.0,Yes
F112014,WOA_SA,FOA,0.0,Yes
F112014,GA,PSO,0.00091,Yes
F112014,GA,GWO,0.0,Yes
F112014,GA,DA,0.0,Yes
F112014,GA,BOA,0.0,Yes
F112014,GA,FOA,0.0,Yes
F112014,PSO,GWO,0.0,Yes
F112014,PSO,DA,0.0,Yes
F112014,PSO,BOA,0.0,Yes
F112014,PSO,FOA,0.0,Yes
F112014,GWO,DA,1e-05,Yes
F112014,GWO,BOA,0.0,Yes
F112014,GWO,FOA,0.00014,Yes
F112014,DA,BOA,0.11394,No
F112014,DA,FOA,0.00404,Yes
F112014,BOA,FOA,1e-05,Yes
F12014,WOA_SA,GA,0.0,Yes
F12014,WOA_SA,PSO,0.0,Yes
F12014,WOA_SA,GWO,0.05061,No
F12014,WOA_SA,DA,0.1355,No
F12014,WOA_SA,BOA,0.0,Yes
F12014,WOA_SA,FOA,0.0,Yes
F12014,GA,PSO,0.00212,Yes
F12014,GA,GWO,0.0,Yes
F12014,GA,DA,0.0,Yes
F12014,GA,BOA,0.0,Yes
F12014,GA,FOA,0.0,Yes
F12014,PSO,GWO,0.0,Yes
F12014,PSO,DA,0.0,Yes
F12014,PSO,BOA,0.0,Yes
F12014,PSO,FOA,0.0,Yes
F12014,GWO,DA,0.35719,No
F12014,GWO,BOA,0.0,Yes
F12014,GWO,FOA,0.0,Yes
F12014,DA,BOA,0.0,Yes
F12014,DA,FOA,0.0,Yes
F12014,BOA,FOA,0.0,Yes
F122014,WOA_SA,GA,0.0,Yes
F122014,WOA_SA,PSO,0.0,Yes
F122014,WOA_SA,GWO,0.0,Yes
F122014,WOA_SA,DA,0.00576,Yes
F122014,WOA_SA,BOA,0.82582,No
F122014,WOA_SA,FOA,0.0,Yes
F122014,GA,PSO,0.0,Yes
F122014,GA,GWO,0.0,Yes
F122014,GA,DA,0.0,Yes
F122014,GA,BOA,0.0,Yes
F122014,GA,FOA,0.0,Yes
